obs_wl_air(nm),unc_obs_wl,intens,Aki(s^-1),Acc,J_i,J_k,Type,
"=""467.12258""","=""0.00005""","=""""","=""2.49e+06""",B,"=""2""","=""3""",,
"=""469.0970""","=""0.0002""","=""100""","=""2.8e+05""",C+,"=""2""","=""1""",,
"=""469.70208""","=""0.00005""","=""""","=""7.36e+05""",B,"=""2""","=""2""",,
"=""470.8210""","=""0.0010""","=""5""","=""""",,"=""1""","=""1""",,
"=""473.41518""","=""0.00005""","=""600""","=""1.38e+06""",C+,"=""1""","=""2""",,
"=""473.749""","=""0.020""","=""6""","=""""",,"=""2""","=""3""",,
"=""479.2619""","=""0.0002""","=""150""","=""1.2e+05""",D+,"=""2""","=""1""",,
"=""480.70190""","=""0.00005""","=""500""","=""4.29e+06""",B,"=""1""","=""0""",,
"=""482.9708""","=""0.0002""","=""400""","=""6.e+05""",D+,"=""1""","=""1""",,
"=""484.32934""","=""0.00005""","=""300""","=""7.02e+05""",B,"=""1""","=""2""",,
"=""491.6507""","=""0.0002""","=""500""","=""1.6e+06""",C+,"=""1""","=""1""",,
"=""492.3152""","=""0.0002""","=""500""","=""9.74e+05""",B,"=""1""","=""2""",,
"=""502.3880""","=""0.0010""","=""3h""","=""""",,"=""0""","=""1""",,
"=""502.82794""","=""0.00005""","=""200""","=""1.6e+05""",D+,"=""1""","=""1""",,
"=""511.646""","=""0.003""","=""0""","=""""",,"=""1""","=""1""",,
"=""512.724""","=""0.020""","=""6""","=""""",,"=""2""","=""3""",,
"=""516.2711""","=""0.0002""","=""10""","=""""",,"=""0""","=""1""",,
"=""516.4390""","=""0.0010""","=""1h""","=""""",,"=""1""","=""2""",,
"=""516.7300""","=""0.0010""","=""1h""","=""""",,"=""1""","=""1""",,
"=""518.5850""","=""0.0010""","=""2h*""","=""""",,"=""1""","=""2""",,
"=""518.5850""","=""0.0010""","=""2h*""","=""""",,"=""1""","=""1""",,
"=""520.6070""","=""0.0010""","=""1""","=""1.10e+05""",C,"=""1""","=""2""",,
"=""524.5270""","=""0.0010""","=""4h""","=""""",,"=""1""","=""2""",,
"=""524.8980""","=""0.0010""","=""4h""","=""""",,"=""1""","=""1""",,
"=""525.1890""","=""0.0010""","=""2h""","=""""",,"=""1""","=""0""",,
"=""527.3480""","=""0.0010""","=""1h""","=""""",,"=""0""","=""1""",,
"=""528.3300""","=""0.0010""","=""2h""","=""""",,"=""1""","=""2""",,
"=""528.6110""","=""0.0010""","=""4h""","=""""",,"=""1""","=""2""",,
"=""528.6380""","=""0.0010""","=""3h""","=""""",,"=""1""","=""1""",,
"=""530.6370""","=""0.0010""","=""3""","=""1.60e+05""",C+,"=""1""","=""2""",,
"=""533.5910""","=""0.0010""","=""1h-""","=""""",,"=""2""","=""2""",,
"=""533.7890""","=""0.0010""","=""2h""","=""""",,"=""2""","=""3""",,
"=""535.6800""","=""0.0010""","=""1""","=""""",,"=""1""","=""1""",,
"=""536.2244""","=""0.0002""","=""15""","=""""",,"=""1""","=""1""",,
"=""536.4626""","=""0.0002""","=""30""","=""""",,"=""1""","=""2""",,
"=""536.7030""","=""0.0010""","=""6""","=""""",,"=""1""","=""0""",,
"=""537.3740""","=""0.0010""","=""1h-""","=""""",,"=""3""","=""4""",,
"=""539.2795""","=""0.0002""","=""100""","=""""",,"=""0""","=""1""",,
"=""539.4738""","=""0.0002""","=""20""","=""""",,"=""1""","=""1""",,
"=""539.7630""","=""0.0010""","=""1h""","=""""",,"=""2""","=""2""",,
"=""540.0450""","=""0.0010""","=""4h""","=""""",,"=""2""","=""3""",,
"=""541.8020""","=""0.0010""","=""5""","=""""",,"=""1""","=""0""",,
"=""542.1760""","=""0.0010""","=""2h""","=""""",,"=""3""","=""4""",,
"=""543.5600""","=""0.0010""","=""5h""","=""""",,"=""1""","=""2""",,
"=""543.9923""","=""0.0002""","=""30""","=""""",,"=""1""","=""2""",,
"=""544.0390""","=""0.0010""","=""15""","=""""",,"=""1""","=""1""",,
"=""544.4870""","=""0.0010""","=""1h""","=""""",,"=""2""","=""1""",,
"=""545.4540""","=""0.0010""","=""1h""","=""""",,"=""3""","=""2""",,
"=""545.6450""","=""0.0010""","=""2""","=""4.40e+04""",B,"=""1""","=""1""",,
"=""546.0037""","=""0.0002""","=""15""","=""2.50e+05""",B+,"=""1""","=""2""",,
"=""547.9120""","=""0.0010""","=""1h""","=""""",,"=""3""","=""3""",,
"=""548.1330""","=""0.0010""","=""1h""","=""""",,"=""2""","=""3""",,
"=""548.4160""","=""0.0010""","=""1h""","=""""",,"=""1""","=""1""",,
"=""548.4460""","=""0.0010""","=""4h""","=""""",,"=""2""","=""2""",,
"=""548.7030""","=""0.0010""","=""6h""","=""""",,"=""3""","=""4""",,
"=""548.8555""","=""0.0002""","=""20h""","=""""",,"=""2""","=""3""",,
"=""552.305""","=""0.003""","=""1""","=""""",,"=""1""","=""0""",,
"=""553.2780""","=""0.0010""","=""2h""","=""1.80e+05""",B+,"=""3""","=""2""",,
"=""554.0380""","=""0.0010""","=""3h*""","=""""",,"=""1""","=""2""",,
"=""554.0380""","=""0.0010""","=""3h*""","=""""",,"=""1""","=""2""",,
"=""555.2385""","=""0.0002""","=""80""","=""""",,"=""1""","=""2""",,
"=""555.3100""","=""0.0010""","=""3h""","=""""",,"=""2""","=""1""",,
"=""555.5060""","=""0.0010""","=""1-""","=""""",,"=""1""","=""2""",,
"=""555.7280""","=""0.0010""","=""2""","=""6.0e+04""",C+,"=""2""","=""2""",,
"=""556.3500""","=""0.0010""","=""2""","=""""",,"=""1""","=""1""",,
"=""556.6615""","=""0.0002""","=""100""","=""""",,"=""1""","=""1""",,
"=""556.7770""","=""0.0010""","=""2h""","=""""",,"=""3""","=""3""",,
"=""557.5270""","=""0.0010""","=""2h""","=""""",,"=""3""","=""3""",,
"=""557.9280""","=""0.0010""","=""40""","=""""",,"=""3""","=""4""",,
"=""558.1784""","=""0.0002""","=""50""","=""""",,"=""1""","=""0""",,
"=""558.5180""","=""0.0010""","=""1-""","=""""",,"=""1""","=""2""",,
"=""559.4370""","=""0.0010""","=""6""","=""""",,"=""0""","=""1""",,
"=""560.7990""","=""0.0010""","=""3""","=""""",,"=""2""","=""3""",,
"=""561.2650""","=""0.0010""","=""15""","=""""",,"=""2""","=""2""",,
"=""561.8878""","=""0.0002""","=""80""","=""""",,"=""2""","=""3""",,
"=""562.1240""","=""0.0010""","=""1""","=""""",,"=""2""","=""2""",,
"=""564.6190""","=""0.0010""","=""5""","=""2.70e+05""",B+,"=""3""","=""2""",,
"=""565.2840""","=""0.0010""","=""2h""","=""""",,"=""1""","=""2""",,
"=""565.4310""","=""0.0010""","=""1h-""","=""""",,"=""2""","=""1""",,
"=""566.4460""","=""0.0010""","=""1h""","=""""",,"=""2""","=""3""",,
"=""568.8373""","=""0.0002""","=""40""","=""""",,"=""1""","=""2""",,
"=""569.5750""","=""0.0002""","=""100""","=""""",,"=""1""","=""2""",,
"=""569.6477""","=""0.0002""","=""80""","=""""",,"=""1""","=""1""",,
"=""569.8540""","=""0.0010""","=""8""","=""""",,"=""3""","=""3""",,
"=""570.3340""","=""0.0010""","=""1""","=""""",,"=""3""","=""2""",,
"=""570.6870""","=""0.0010""","=""3""","=""7.0e+04""",C+,"=""1""","=""1""",,
"=""570.9800""","=""0.0010""","=""10h""","=""""",,"=""3""","=""3""",,
"=""571.2210""","=""0.0010""","=""2""","=""""",,"=""3""","=""2""",,
"=""571.5716""","=""0.0002""","=""70""","=""3.5e+05""",C+,"=""1""","=""2""",,
"=""571.6252""","=""0.0002""","=""80""","=""""",,"=""3""","=""4""",,
"=""572.2140""","=""0.0010""","=""15h""","=""3.60e+05""",B+,"=""2""","=""1""",,
"=""572.3260""","=""0.0010""","=""1h""","=""""",,"=""1""","=""1""",,
"=""572.6100""","=""0.0010""","=""4""","=""9.0e+04""",C+,"=""2""","=""2""",,
"=""573.3480""","=""0.0010""","=""4h""","=""""",,"=""2""","=""3""",,
"=""574.0170""","=""0.0010""","=""6""","=""""",,"=""1""","=""1""",,
"=""574.0730""","=""0.0010""","=""1h""","=""""",,"=""2""","=""2""",,
"=""574.8200""","=""0.0010""","=""8h""","=""""",,"=""1""","=""2""",,
"=""575.4600""","=""0.0010""","=""1h""","=""""",,"=""1""","=""2""",,
"=""579.2260""","=""0.0010""","=""1h""","=""9.0e+04""",C,"=""2""","=""2""",,
"=""580.7311""","=""0.0002""","=""15""","=""""",,"=""2""","=""3""",,
"=""581.4505""","=""0.0002""","=""60""","=""""",,"=""2""","=""2""",,
"=""582.0520""","=""0.0010""","=""25""","=""4.00e+05""",B+,"=""3""","=""2""",,
"=""582.3890""","=""0.0002""","=""300""","=""""",,"=""0""","=""1""",,
"=""582.4800""","=""0.0002""","=""150""","=""""",,"=""2""","=""3""",,
"=""582.7720""","=""0.0010""","=""1""","=""""",,"=""2""","=""2""",,
"=""583.0630""","=""0.0010""","=""20h""","=""""",,"=""2""","=""3""",,
"=""584.0830""","=""0.0010""","=""4h""","=""""",,"=""2""","=""2""",,
"=""584.3430""","=""0.0010""","=""5""","=""""",,"=""2""","=""1""",,
"=""584.5460""","=""0.0010""","=""1""","=""""",,"=""2""","=""1""",,
"=""584.6210""","=""0.0010""","=""2""","=""""",,"=""1""","=""0""",,
"=""584.9850""","=""0.0010""","=""3h""","=""""",,"=""1""","=""1""",,
"=""585.6509""","=""0.0002""","=""15""","=""""",,"=""1""","=""2""",,
"=""587.5018""","=""0.0002""","=""100""","=""""",,"=""1""","=""2""",,
"=""587.8920""","=""0.0010""","=""6""","=""""",,"=""1""","=""2""",,
"=""588.9120""","=""0.0010""","=""20""","=""""",,"=""1""","=""2""",,
"=""589.4988""","=""0.0002""","=""100""","=""""",,"=""1""","=""1""",,
"=""589.5620""","=""0.0010""","=""2h""","=""""",,"=""1""","=""1""",,
"=""589.8560""","=""0.0010""","=""8""","=""""",,"=""1""","=""2""",,
"=""590.4462""","=""0.0002""","=""20""","=""""",,"=""3""","=""3""",,
"=""590.6760""","=""0.0010""","=""3""","=""""",,"=""1""","=""2""",,
"=""591.1900""","=""0.0010""","=""5*""","=""""",,"=""3""","=""2""",,
"=""591.1900""","=""0.0010""","=""5*""","=""""",,"=""2""","=""1""",,
"=""591.6650""","=""0.0010""","=""4""","=""1.30e+05""",B,"=""2""","=""2""",,
"=""592.1850""","=""0.0010""","=""10""","=""""",,"=""1""","=""1""",,
"=""592.2550""","=""0.0002""","=""20""","=""""",,"=""3""","=""3""",,
"=""592.5560""","=""0.0010""","=""6""","=""""",,"=""3""","=""2""",,
"=""593.1241""","=""0.0002""","=""80""","=""""",,"=""1""","=""0""",,
"=""593.4172""","=""0.0002""","=""100""","=""""",,"=""3""","=""4""",,
"=""596.328""","=""0.020""","=""4""","=""""",,"=""1""","=""0""",,
"=""597.2820""","=""0.0010""","=""1h""","=""""",,"=""1""","=""1""",,
"=""597.4152""","=""0.0002""","=""40""","=""""",,"=""2""","=""3""",,
"=""597.8290""","=""0.0010""","=""2""","=""""",,"=""4""","=""5""",,
"=""597.9420""","=""0.0010""","=""1""","=""""",,"=""2""","=""2""",,
"=""598.6230""","=""0.0010""","=""4""","=""""",,"=""2""","=""1""",,
"=""598.9180""","=""0.0010""","=""30""","=""""",,"=""2""","=""2""",,
"=""599.8115""","=""0.0002""","=""30""","=""5.80e+05""",B+,"=""2""","=""1""",,
"=""600.7909""","=""0.0002""","=""15""","=""1.60e+05""",B+,"=""2""","=""2""",,
"=""600.9780""","=""0.0010""","=""8""","=""2.10e+05""",B,"=""1""","=""1""",,
"=""601.4100""","=""0.0010""","=""1h""","=""1.3e+04""",C,"=""1""","=""2""",,
"=""602.2890""","=""0.0010""","=""1h-""","=""""",,"=""2""","=""3""",,
"=""602.6760""","=""0.0010""","=""4""","=""""",,"=""2""","=""1""",,
"=""602.978""","=""0.020""","=""15*""","=""""",,"=""2""","=""3""",,
"=""602.978""","=""0.020""","=""15*""","=""""",,"=""2""","=""2""",,
"=""603.1360""","=""0.0010""","=""1h-""","=""""",,"=""0""","=""1""",,
"=""603.4920""","=""0.0010""","=""2""","=""""",,"=""2""","=""1""",,
"=""604.3380""","=""0.0010""","=""10""","=""""",,"=""1""","=""1""",,
"=""604.8000""","=""0.0010""","=""6h""","=""""",,"=""4""","=""5""",,
"=""606.4910""","=""0.0010""","=""1h""","=""""",,"=""1""","=""2""",,
"=""606.7520""","=""0.0010""","=""2h""","=""""",,"=""1""","=""2""",,
"=""606.7770""","=""0.0010""","=""1h""","=""""",,"=""1""","=""1""",,
"=""609.3380""","=""0.0010""","=""3""","=""""",,"=""2""","=""3""",,
"=""609.5150""","=""0.0010""","=""1-""","=""""",,"=""2""","=""1""",,
"=""610.3880""","=""0.0010""","=""3""","=""1.20e+05""",B,"=""2""","=""1""",,
"=""610.8370""","=""0.0010""","=""8""","=""1.80e+05""",C+,"=""2""","=""2""",,
"=""611.1761""","=""0.0002""","=""30""","=""""",,"=""1""","=""2""",,
"=""611.1951""","=""0.0002""","=""40""","=""7.0e+05""",C,"=""3""","=""2""",,
"=""611.4860""","=""0.0010""","=""10""","=""""",,"=""1""","=""1""",,
"=""612.3910""","=""0.0010""","=""5""","=""""",,"=""0""","=""1""",,
"=""612.6360""","=""0.0010""","=""15""","=""""",,"=""1""","=""2""",,
"=""613.1470""","=""0.0010""","=""1""","=""""",,"=""0""","=""1""",,
"=""614.2130""","=""0.0010""","=""1h""","=""""",,"=""4""","=""4""",,
"=""614.3700""","=""0.0010""","=""4""","=""""",,"=""1""","=""1""",,
"=""614.4970""","=""0.0010""","=""20hw""","=""""",,"=""4""","=""5""",,
"=""615.2070""","=""0.0002""","=""20""","=""""",,"=""2""","=""3""",,
"=""616.2160""","=""0.0010""","=""3""","=""""",,"=""1""","=""0""",,
"=""616.3661""","=""0.0002""","=""90""","=""""",,"=""2""","=""2""",,
"=""616.3935""","=""0.0002""","=""80""","=""""",,"=""1""","=""2""",,
"=""617.8303""","=""0.0002""","=""150""","=""""",,"=""1""","=""2""",,
"=""617.9665""","=""0.0002""","=""120""","=""""",,"=""1""","=""1""",,
"=""618.2420""","=""0.0002""","=""300""","=""""",,"=""2""","=""3""",,
"=""618.4160""","=""0.0010""","=""3""","=""""",,"=""2""","=""2""",,
"=""618.9100""","=""0.0010""","=""20""","=""1.30e+05""",B,"=""1""","=""1""",,
"=""619.1400""","=""0.0010""","=""4h""","=""""",,"=""2""","=""3""",,
"=""619.3890""","=""0.0010""","=""1h""","=""""",,"=""2""","=""2""",,
"=""619.5490""","=""0.0010""","=""1""","=""""",,"=""0""","=""1""",,
"=""619.8260""","=""0.0002""","=""100""","=""6.60e+05""",B+,"=""1""","=""2""",,
"=""620.0892""","=""0.0002""","=""60""","=""""",,"=""2""","=""3""",,
"=""620.1490""","=""0.0010""","=""3h""","=""""",,"=""1""","=""2""",,
"=""620.5350""","=""0.0010""","=""6h""","=""""",,"=""1""","=""2""",,
"=""620.5750""","=""0.0010""","=""4""","=""""",,"=""1""","=""1""",,
"=""620.6297""","=""0.0002""","=""20""","=""""",,"=""2""","=""1""",,
"=""620.9110""","=""0.0010""","=""3""","=""""",,"=""2""","=""2""",,
"=""622.0840""","=""0.0010""","=""1""","=""""",,"=""2""","=""3""",,
"=""622.4168""","=""0.0002""","=""40""","=""""",,"=""2""","=""2""",,
"=""623.081""","=""0.020""","=""4*""","=""""",,"=""2""","=""2""",,
"=""623.081""","=""0.020""","=""4*""","=""""",,"=""2""","=""3""",,
"=""624.2090""","=""0.0010""","=""8""","=""""",,"=""2""","=""1""",,
"=""626.1212""","=""0.0002""","=""50""","=""""",,"=""3""","=""3""",,
"=""626.5302""","=""0.0002""","=""40*""","=""""",,"=""0""","=""1""",,
"=""626.5302""","=""0.0002""","=""40*""","=""""",,"=""2""","=""1""",,
"=""626.8340""","=""0.0010""","=""1h""","=""""",,"=""3""","=""4""",,
"=""627.3230""","=""0.0010""","=""10""","=""""",,"=""3""","=""2""",,
"=""627.6990""","=""0.0010""","=""4""","=""""",,"=""0""","=""1""",,
"=""628.1810""","=""0.0010""","=""5h""","=""""",,"=""4""","=""4""",,
"=""628.6011""","=""0.0002""","=""100""","=""""",,"=""4""","=""5""",,
"=""629.2649""","=""0.0002""","=""50""","=""""",,"=""3""","=""3""",,
"=""629.4450""","=""0.0010""","=""15""","=""""",,"=""3""","=""2""",,
"=""631.4970""","=""0.0010""","=""15""","=""3.10e+05""",B+,"=""1""","=""1""",,
"=""631.8062""","=""0.0002""","=""500""","=""""",,"=""3""","=""4""",,
"=""632.5810""","=""0.0010""","=""2""","=""2.1e+04""",C,"=""1""","=""2""",,
"=""633.1500""","=""0.0010""","=""20""","=""""",,"=""0""","=""1""",,
"=""633.3970""","=""0.0010""","=""40hl""","=""""",,"=""2""","=""3""",,
"=""633.7580""","=""0.0010""","=""8hl""","=""""",,"=""2""","=""2""",,
"=""634.4980""","=""0.0010""","=""2h""","=""""",,"=""3""","=""4""",,
"=""635.5770""","=""0.0010""","=""20""","=""""",,"=""1""","=""1""",,
"=""638.324""","=""0.013""","=""""","=""""",,"=""4""","=""3""",,
"=""640.705""","=""0.013""","=""""","=""""",,"=""2""","=""2""",,
"=""641.2380""","=""0.0010""","=""10""","=""""",,"=""1""","=""2""",,
"=""641.8410""","=""0.0010""","=""30""","=""""",,"=""1""","=""2""",,
"=""641.8980""","=""0.0010""","=""30h""","=""""",,"=""1""","=""1""",,
"=""642.133""","=""0.013""","=""""","=""""",,"=""2""","=""2""",,
"=""643.0155""","=""0.0002""","=""20""","=""3.00e+05""",B+,"=""2""","=""2""",,
"=""643.501""","=""0.013""","=""""","=""""",,"=""2""","=""3""",,
"=""643.832""","=""0.013""","=""""","=""""",,"=""2""","=""2""",,
"=""643.890""","=""0.013""","=""""","=""""",,"=""2""","=""2""",,
"=""644.8700""","=""0.0010""","=""2h*""","=""""",,"=""3""","=""3""",,
"=""644.8700""","=""0.0010""","=""2h*""","=""""",,"=""3""","=""4""",,
"=""645.0480""","=""0.0010""","=""7""","=""""",,"=""2""","=""1""",,
"=""645.1790""","=""0.0010""","=""10hl""","=""""",,"=""3""","=""4""",,
"=""645.871""","=""0.013""","=""""","=""""",,"=""2""","=""2""",,
"=""646.1500""","=""0.0010""","=""3""","=""1.20e+05""",C+,"=""0""","=""1""",,
"=""646.9705""","=""0.0002""","=""300""","=""""",,"=""1""","=""2""",,
"=""647.2841""","=""0.0002""","=""150""","=""""",,"=""1""","=""1""",,
"=""648.363""","=""0.013""","=""""","=""""",,"=""2""","=""2""",,
"=""648.7765""","=""0.0002""","=""120""","=""9.40e+05""",B,"=""1""","=""2""",,
"=""649.7430""","=""0.0010""","=""30hl""","=""""",,"=""4""","=""4""",,
"=""649.8717""","=""0.0002""","=""100""","=""""",,"=""1""","=""2""",,
"=""650.0370""","=""0.0010""","=""15*""","=""""",,"=""0""","=""1""",,
"=""650.0370""","=""0.0010""","=""15*""","=""""",,"=""4""","=""3""",,
"=""650.4180""","=""0.0010""","=""200h""","=""""",,"=""4""","=""5""",,
"=""650.438""","=""0.013""","=""""","=""""",,"=""1""","=""0""",,
"=""652.1508""","=""0.0002""","=""40""","=""""",,"=""1""","=""2""",,
"=""653.3159""","=""0.0002""","=""100""","=""1.03e+06""",B+,"=""2""","=""1""",,
"=""654.3360""","=""0.0002""","=""40""","=""2.70e+05""",B+,"=""2""","=""2""",,
"=""654.6120""","=""0.0010""","=""20""","=""""",,"=""1""","=""1""",,
"=""655.260""","=""0.013""","=""""","=""""",,"=""2""","=""3""",,
"=""655.299""","=""0.013""","=""""","=""""",,"=""2""","=""2""",,
"=""655.3660""","=""0.0010""","=""4""","=""""",,"=""2""","=""2""",,
"=""655.4196""","=""0.0002""","=""50hl""","=""""",,"=""2""","=""3""",,
"=""655.862""","=""0.013""","=""""","=""""",,"=""1""","=""2""",,
"=""655.9970""","=""0.0010""","=""25""","=""""",,"=""2""","=""2""",,
"=""656.0650""","=""0.0010""","=""4h""","=""""",,"=""2""","=""1""",,
"=""656.839""","=""0.020""","=""30""","=""""",,"=""2""","=""3""",,
"=""658.3270""","=""0.0010""","=""20""","=""""",,"=""1""","=""2""",,
"=""659.0860""","=""0.0010""","=""8""","=""""",,"=""1""","=""0""",,
"=""659.327""","=""0.013""","=""""","=""""",,"=""1""","=""1""",,
"=""659.5561""","=""0.0002""","=""100""","=""""",,"=""2""","=""3""",,
"=""659.971""","=""0.013""","=""""","=""""",,"=""1""","=""1""",,
"=""660.158""","=""0.013""","=""""","=""""",,"=""2""","=""3""",,
"=""660.206""","=""0.013""","=""""","=""""",,"=""2""","=""2""",,
"=""660.2870""","=""0.0010""","=""4h*""","=""""",,"=""3""","=""3""",,
"=""660.2870""","=""0.0010""","=""4h*""","=""""",,"=""3""","=""4""",,
"=""660.446""","=""0.013""","=""""","=""""",,"=""3""","=""2""",,
"=""660.498""","=""0.013""","=""""","=""""",,"=""3""","=""3""",,
"=""660.7410""","=""0.0010""","=""30h""","=""""",,"=""3""","=""4""",,
"=""660.8870""","=""0.0010""","=""10""","=""""",,"=""2""","=""2""",,
"=""662.108""","=""0.013""","=""""","=""""",,"=""3""","=""2""",,
"=""663.0440""","=""0.0010""","=""2""","=""""",,"=""2""","=""3""",,
"=""663.2464""","=""0.0002""","=""50""","=""""",,"=""2""","=""2""",,
"=""663.638""","=""0.013""","=""""","=""""",,"=""3""","=""2""",,
"=""664.8750""","=""0.0010""","=""3""","=""""",,"=""1""","=""2""",,
"=""665.467""","=""0.013""","=""""","=""""",,"=""3""","=""2""",,
"=""665.7920""","=""0.0010""","=""20""","=""""",,"=""2""","=""1""",,
"=""666.4850""","=""0.0010""","=""4""","=""""",,"=""4""","=""3""",,
"=""666.567""","=""0.013""","=""""","=""""",,"=""2""","=""3""",,
"=""666.629""","=""0.013""","=""""","=""""",,"=""2""","=""2""",,
"=""666.6965""","=""0.0002""","=""60""","=""1.10e+06""",B+,"=""3""","=""2""",,
"=""666.8920""","=""0.0002""","=""150""","=""""",,"=""1""","=""0""",,
"=""667.653""","=""0.013""","=""""","=""""",,"=""3""","=""2""",,
"=""667.8972""","=""0.0002""","=""25""","=""""",,"=""1""","=""1""",,
"=""668.1036""","=""0.0002""","=""20""","=""""",,"=""0""","=""1""",,
"=""668.479""","=""0.020""","=""30*""","=""""",,"=""2""","=""2""",,
"=""668.479""","=""0.020""","=""30*""","=""""",,"=""2""","=""3""",,
"=""670.326""","=""0.013""","=""""","=""""",,"=""3""","=""2""",,
"=""670.362""","=""0.013""","=""""","=""""",,"=""3""","=""2""",,
"=""670.546""","=""0.013""","=""""","=""""",,"=""3""","=""2""",,
"=""670.6460""","=""0.0010""","=""1""","=""""",,"=""2""","=""2""",,
"=""670.825""","=""0.020""","=""3*""","=""""",,"=""3""","=""4""",,
"=""670.825""","=""0.020""","=""3*""","=""""",,"=""3""","=""3""",,
"=""670.825""","=""0.020""","=""3*""","=""""",,"=""3""","=""3""",,
"=""671.293""","=""0.020""","=""3*""","=""""",,"=""3""","=""2""",,
"=""671.293""","=""0.020""","=""3*""","=""""",,"=""3""","=""3""",,
"=""671.293""","=""0.020""","=""3*""","=""""",,"=""3""","=""3""",,
"=""671.939""","=""0.013""","=""""","=""""",,"=""3""","=""2""",,
"=""672.138""","=""0.013""","=""""","=""""",,"=""2""","=""3""",,
"=""672.8008""","=""0.0002""","=""200""","=""""",,"=""1""","=""1""",,
"=""673.614""","=""0.013""","=""""","=""""",,"=""3""","=""2""",,
"=""673.650""","=""0.013""","=""""","=""""",,"=""3""","=""2""",,
"=""675.193""","=""0.013""","=""""","=""""",,"=""2""","=""3""",,
"=""675.279""","=""0.013""","=""""","=""""",,"=""2""","=""2""",,
"=""676.7120""","=""0.0010""","=""10""","=""""",,"=""1""","=""2""",,
"=""677.7570""","=""0.0010""","=""50""","=""""",,"=""1""","=""2""",,
"=""677.8600""","=""0.0010""","=""40""","=""""",,"=""1""","=""1""",,
"=""680.812""","=""0.020""","=""5""","=""""",,"=""2""","=""3""",,
"=""681.5640""","=""0.0010""","=""12""","=""2.10e+05""",B+,"=""0""","=""1""",,
"=""681.8380""","=""0.0010""","=""15""","=""""",,"=""1""","=""1""",,
"=""682.7315""","=""0.0002""","=""200""","=""""",,"=""0""","=""1""",,
"=""684.0960""","=""0.0010""","=""8""","=""""",,"=""2""","=""3""",,
"=""684.1500""","=""0.0010""","=""20*""","=""""",,"=""3""","=""3""",,
"=""684.1500""","=""0.0010""","=""20*""","=""""",,"=""3""","=""4""",,
"=""684.4270""","=""0.0010""","=""1""","=""""",,"=""3""","=""2""",,
"=""684.4840""","=""0.0010""","=""2h""","=""""",,"=""3""","=""3""",,
"=""684.6613""","=""0.0002""","=""60""","=""""",,"=""2""","=""2""",,
"=""684.8820""","=""0.0010""","=""50""","=""""",,"=""3""","=""4""",,
"=""685.0130""","=""0.0010""","=""30""","=""""",,"=""2""","=""1""",,
"=""686.0190""","=""0.0010""","=""40""","=""""",,"=""4""","=""4""",,
"=""686.3200""","=""0.0010""","=""20""","=""""",,"=""0""","=""1""",,
"=""686.5580""","=""0.0010""","=""5""","=""""",,"=""4""","=""3""",,
"=""686.6838""","=""0.0002""","=""50""","=""9.20e+05""",B,"=""2""","=""2""",,
"=""687.2107""","=""0.0002""","=""100""","=""""",,"=""4""","=""5""",,
"=""688.2155""","=""0.0002""","=""300""","=""5.83e+06""",B,"=""2""","=""3""",,
